

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1291.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\rainbow\plugin\rainbow.vim
1294.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\buffer.vim
1295.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\dictionary.vim
1296.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\member.vim
1297.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete\tag.vim
1298.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\neocomplete.vim\plugin\neocomplete.vim
1299.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\neosnippet\plugin\neosnippet.vim
1301.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-snippets\plugin\vimsnippets.vim
1304.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\emmet-vim\plugin\emmet.vim
1305.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\rust.vim\plugin\rust.vim
1307.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-preview\plugin\preview.vim
1308.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-cucumber-align-pipes\plugin\cucumber-align-pipes.vim
1309.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vimfiles\plugin\vimcdoc.vim
1313.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\getscriptPlugin.vim
1314.000  001.000  001.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\gzip.vim
1315.000  001.000  001.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\logiPat.vim
1315.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\manpager.vim
1316.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\matchparen.vim
1318.000  001.000  001.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\netrwPlugin.vim
1319.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\rrhelper.vim
1320.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\spellfile.vim
1321.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\tarPlugin.vim
1322.000  000.000  000.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\tohtml.vim
1323.000  001.000  001.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\vimballPlugin.vim
1324.000  001.000  001.000: sourcing C:\Program Files (x86)\vim\vim80\plugin\zipPlugin.vim
1324.000  184.000: loading plugins
1325.000  001.000: loading packages
1335.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\tabular\autoload\tabular.vim
1339.000  010.000  009.000: sourcing C:\Users\sshen\.vim\bundle\tabular\after\plugin\TabularMaps.vim
1348.000  003.000  003.000: sourcing C:\Users\sshen\.vim\bundle\tabular\after\plugin\TabularMaps.vim
1350.000  012.000: loading after plugins
1350.000  000.000: inits 3
1352.000  002.000: reading viminfo
1356.000  004.000: setting raw mode
1374.000  018.000: start termcap
1374.000  000.000: clearing screen
34243.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\ctrlp.vim\autoload\ctrlp\utils.vim
34258.000  002.000  002.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions.vim
34262.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\quickfix.vim
34267.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\netrw.vim
34271.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\ctrlp.vim
34275.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\undotree.vim
34277.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\hunks.vim
34281.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\branch.vim
34284.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\bufferline.vim
34287.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\syntastic.vim
34289.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\whitespace.vim
34298.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\wordcount.vim
34301.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\keymap.vim
34366.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\section.vim
34368.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\highlighter.vim
34378.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\themes.vim
34378.000  003.000  002.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline-themes\autoload\airline\themes\solarized.vim
34391.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\msdos.vim
34426.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\util.vim
34437.000  001.000  001.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\builder.vim
34440.000  000.000  000.000: sourcing C:\Users\sshen\.vim\bundle\vim-airline\autoload\airline\extensions\default.vim
34507.000  002.000  002.000: sourcing C:\Users\sshen\.vim\bundle\vim-session\autoload\xolox\session.vim
